CAT	NAME	CODE	#INF	#OUTF	INFLOWS	OUTFLOWS	CASCADE
INDUSTRIAL						
	Unsustainable Harvesting	UNS	1	5	MAR	CHE,INE,NIT,FRE,LAN	HEA, BIO, FOO, ENE, CLE, COM, LOW, SOC, AFF, POL, UNR, SPR, LAB, ECO, DIS, SYS, INF, MON, IND, MAR, AIR
	Polluting Industry	IND	2	3	MAR,MON	INE,CHE,AIR	BIO, FRE, HEA, FOO, CLE, LOW, ENE, AFF, SOC, POL, UNR, COM, SPR, LAN, LAB, ECO, DIS, INF, SYS, MON, MAR, UNS, NIT
	Fossil Fuel Dependency	FOS	0	4		NIT,CHE,CLI,OCE	BIO, LAN, SOC, FRE, HEA, ENE, FOO, POL, CLE, UNR, LOW, COM, AFF, SPR, LAB, INE, DIS, ECO, SYS, INF, MON, MAR, IND, AIR, UNS
	Sprawl	SPR	1	3	LAC	LAN,INE,LAC	BIO, UNR, FOO, POL, SOC, COM, HEA, LAB, LOW, ECO, DIS, INF, SYS, MON, MAR, IND, UNS, CHE, AIR, NIT, FRE, ENE, CLE
ECONOMIC						
	Inflation	INF	2	1	ECO,SYS	ECO	SOC, SYS, AFF, LOW, SPR, COM, INE, UNR, POL, MON, IND, LAB, HEA, LAN, MAR, FOO, DIS, CHE, BIO, UNS, AIR, NIT, FRE, CLE, ENE
	Monopoly	MON	1	5	SYS	MAR,IND,INE,SYS,LAB	CHE, POL, UNR, HEA, UNS, ECO, AIR, INF, SOC, LOW, DIS, FRE, LAN, COM, AFF, BIO, NIT, SPR, FOO, CLE, ENE
	Market Externalities	MAR	1	4	MON	UNS,ECO,INE,IND	INF, FRE, SOC, AFF, LAN, AIR, CHE, SYS, NIT, POL, SPR, ENE, MON, BIO, HEA, CLE, UNR, COM, FOO, LOW, LAB, DIS
	Inefficiency	INE	6	0	IND,MAR,MON,SPR,SYS,UNS		
SOCIAL						
	Social Inequity	SOC	10	4	LAC,CLI,LAC,DIS,ECO,FOO,LAC,LAC,SYS,UNR	LAC,UNR,LAC,LOW	HEA, LAB, DIS, ECO, AFF, SPR, INF, SYS, INE, MON, LAN, FOO, BIO, MAR, IND, AIR, UNS, CHE, FRE, NIT, ENE, CLE
	Low Education	LOW	4	0	ENE,LAC,LAB,SOC		
	Lack of Political Voice	LAC	3	3	LAC,LAB,SOC	LAC,SOC,LAB	DIS, LOW, ECO, HEA, UNR, INF, SYS, AFF, SPR, MON, INE, MAR, IND, LAN, FOO, BIO, CHE, AIR, UNS, FRE, NIT, CLE, ENE
	Unrest & Injustice	UNR	3	2	LAC,SOC,SYS	LAC,SOC	HEA, LOW, POL, AFF, LAB, ECO, DIS, SPR, INF, INE, LAN, SYS, BIO, MON, FOO, IND, MAR, UNS, AIR, CHE, FRE, NIT, CLE, ENE
	Lack of Community Networks	LAC	5	2	LAC,FOO,LAC,SOC,UNR	LAC,SOC	AFF, POL, LOW, UNR, LAB, SPR, INE, DIS, ECO, LAN, SYS, INF, BIO, FOO, MON, MAR, IND, AIR, UNS, CHE, NIT, FRE, ENE, CLE
CLASS						
	Energy Shortage	ENE	2	2	CLI,FRE	LAC,LOW	SOC, UNR, SPR, POL, COM, LAN, HEA, INE, LAB, FOO, ECO, BIO, DIS, SYS, INF, MON, MAR, IND, CHE, UNS, AIR, NIT, FRE, CLE
	Lack of Healthcare	LAC	7	3	AIR,CHE,CLE,CLI,LAC,FOO,LAB	SOC,LAC,LOW	COM, SPR, UNR, POL, LAN, INE, LAB, ECO, FOO, DIS, BIO, INF, SYS, MON, IND, MAR, UNS, AIR, CHE, NIT, FRE, CLE, ENE
	Lack of Affordable Housing	LAC	4	5	ECO,ENE,LAC,SPR	LAC,SPR,SOC,LAC,UNR	HEA, LOW, INE, LAN, LAB, FOO, ECO, BIO, DIS, SYS, INF, MON, IND, MAR, UNS, CHE, AIR, FRE, NIT, ENE, CLE
	Clean Water Shortage	CLE	1	1	FRE	LAC	SOC, AFF, LOW, POL, SPR, UNR, COM, LAN, LAB, INE, BIO, FOO, DIS, ECO, INF, SYS, MON, IND, MAR, AIR, CHE, UNS, NIT, FRE, ENE
	Food Shortage	FOO	5	3	CLI,FRE,LAN,NIT,OCE	LAC,LAC,SOC	AFF, UNR, LOW, POL, SPR, LAB, LAN, DIS, INE, ECO, BIO, SYS, INF, MON, IND, MAR, UNS, AIR, CHE, FRE, NIT, ENE, CLE
ENVIRONMENTAL						
	Biodiversity Loss	BIO	5	0	CHE,CLI,LAN,NIT,OCE		
	Chemical Pollution	CHE	3	3	FOS,IND,UNS	FRE,LAC,BIO	LOW, CLE, FOO, ENE, SOC, AFF, SPR, COM, POL, UNR, LAN, INE, LAB, DIS, ECO, SYS, INF, MON, MAR, IND, UNS, AIR, NIT
	Climate Change	CLI	1	7	FOS	FOO,ENE,BIO,LAC,SOC,FRE,LAN	AFF, LOW, CLE, UNR, POL, COM, SPR, LAB, ECO, DIS, INE, INF, SYS, MON, IND, MAR, AIR, CHE, UNS, NIT
	Freshwater Depletion	FRE	3	3	CHE,CLI,UNS	CLE,FOO,ENE	SOC, COM, LOW, AFF, HEA, SPR, POL, UNR, INE, LAB, LAN, ECO, DIS, BIO, SYS, INF, MON, MAR, IND, CHE, AIR, UNS, NIT
	Air & Ozone Degradation	AIR	1	1	IND	LAC	SOC, LOW, AFF, UNR, SPR, POL, COM, INE, LAB, LAN, DIS, ECO, FOO, BIO, SYS, INF, MON, MAR, IND, CHE, UNS, NIT, FRE, CLE, ENE
	Ocean Degradation	OCE	1	2	FOS	FOO,BIO	HEA, SOC, COM, UNR, POL, LOW, AFF, LAB, SPR, DIS, INE, ECO, LAN, SYS, INF, MON, MAR, IND, UNS, CHE, AIR, FRE, NIT, ENE, CLE
	Land Conversion	LAN	3	2	CLI,SPR,UNS	FOO,BIO	HEA, SOC, COM, LOW, POL, AFF, UNR, SPR, LAB, DIS, INE, ECO, SYS, INF, MON, MAR, IND, UNS, AIR, CHE, NIT, FRE, ENE, CLE
	Nitrogen & Phosphorous Loading	NIT	2	2	FOS,UNS	FOO,BIO	HEA, SOC, COM, AFF, LOW, POL, UNR, SPR, LAB, ECO, INE, DIS, LAN, INF, SYS, MON, MAR, IND, AIR, UNS, CHE, FRE, CLE, ENE
LIVING STANDARDS						
	Economic Inequality	ECO	5	4	DIS,INF,LAB,MAR,SYS	INF,LAC,SOC,SYS	COM, UNR, MON, INE, POL, LOW, SPR, LAN, HEA, LAB, IND, MAR, BIO, CHE, UNS, FOO, AIR, DIS, FRE, NIT, ENE, CLE
	Discrimination	DIS	1	2	LAB	ECO,SOC	SYS, AFF, LOW, UNR, POL, INF, COM, LAB, INE, SPR, MON, HEA, IND, LAN, MAR, UNS, BIO, CHE, FOO, AIR, NIT, FRE, CLE, ENE
	Low Labour Standards	LAB	2	5	MON,LAC	ECO,LAC,DIS,LAC,LOW	INF, SOC, SYS, AFF, COM, MON, INE, UNR, SPR, MAR, IND, LAN, UNS, CHE, AIR, FOO, BIO, FRE, NIT, ENE, CLE
	Systemic Corruption	SYS	2	6	ECO,MON	ECO,INE,MON,SOC,INF,UNR	AFF, LOW, IND, LAB, COM, POL, MAR, AIR, UNS, HEA, CHE, DIS, SPR, LAN, FRE, BIO, NIT, ENE, CLE, FOO
